RegID,RegName,fp_2019(%),fp_2022(%),fp_2019_HP_plus_upfront(%),fp_2022_HP_plus_upfront(%),fp_2019_HP_plus_upfront_plus_network(%),fp_2022_HP_plus_upfront_plus_network(%),off_gas_GHG_emission(kgCO2e),off_gas_GHG_emission_HP(kgCO2e),off_gas_GHG_reduction_rate(%),network_upgrade_cost(M£),network_upgrade_cost_per_PS(M£),number_of_PS,off_gas_rate(%)
S12000005,Clackmannanshire,30.26350605066584,61.85419999244004,29.3001514899139,61.363882760846565,29.3001514899139,61.363882760846565,6945132.97987455,2178543.714028393,0.6863208061902735,0.0,0.0,4,0.0571296005144094
S12000006,Dumfries and Galloway,53.742928379724134,81.07305056423677,48.43257566049767,79.39023315329014,48.43257566049767,79.39023315329014,234218017.5664788,70299653.62301147,0.6998537757537884,5.075938337246783,0.16373994636279945,31,0.4509386946004329
S12000008,East Ayrshire,41.37007876273612,78.80813205357329,40.94334273152638,78.80813205357329,40.94334273152638,78.80813205357329,27767074.69098548,9425353.903881684,0.6605564680912677,0.0,0.0,13,0.061789893393952036
S12000010,East Lothian,33.005720484715674,63.8709232934507,32.24006570191584,61.280531214424684,32.24006570191584,61.280531214424684,44371026.70413328,15378928.622510612,0.6534015603231912,0.0,0.0,10,0.180827682290556
S12000011,East Renfrewshire,27.13176558456203,64.84453328736095,26.53191964762372,62.436217215375265,26.53191964762372,62.436217215375265,7495603.32086167,2770372.054766554,0.6304003912458803,0.0,0.0,5,0.07495964829038439
S12000013,Na h-Eileanan Siar,72.70111972703279,94.71002633109305,67.973323378833,90.83671791486124,69.0383675030812,91.24417885398815,101994625.2672907,30187900.228828818,0.7040245978676097,9.298388052695469,0.5811492532934668,16,0.9517926584531755
S12000014,Falkirk,33.97298228493692,61.88412309065939,33.19791983916379,60.949404619518866,33.19791983916379,60.949404619518866,41842354.17747196,12020214.164641632,0.7127261503103152,0.0,0.0,13,0.10879703321052134
S12000017,Highland,58.465697085677014,83.01757155912026,54.65089687308758,79.94364184718626,54.65089687308758,79.94364184718626,477821436.26169306,150661168.3462648,0.684691483234857,14.333022122418692,0.13395347777961394,107,0.561461762717632
S12000018,Inverclyde,38.027010183639085,65.76212632657612,35.697117402136904,65.31495850049171,35.697117402136904,65.31495850049171,11948287.939684104,5408685.258966774,0.547325500835748,0.0,0.0,8,0.13937205732636646
S12000019,Midlothian,30.667459836918674,61.11143654882063,29.323682646387635,60.7563026483167,29.323682646387635,60.7563026483167,20902301.89598205,7096813.133164423,0.6604769575867331,0.0,0.0,7,0.09405203109321653
S12000020,Moray,56.539183620061536,84.81033656372797,56.21208441371329,82.80834355617661,56.62102992395253,82.80834355617661,108265826.4811961,32817015.864557452,0.6968848164636956,7.792374445331728,0.4329096914073182,18,0.31936194204070906
S12000021,North Ayrshire,46.98492855021662,74.43881295775564,45.937917240353656,73.5580939083165,45.937917240353656,73.5580939083165,46761120.60312548,14578983.726854539,0.6882242440126619,0.0,0.0,15,0.10020604578854943
S12000023,Orkney Islands,65.66161803568636,89.9873423205369,52.3619192206486,79.57470573720624,52.3619192206486,79.57470573720624,74880075.92992236,22588541.12874202,0.6983370963741831,0.2455320845684334,0.018887083428341032,13,1.0
S12000026,Scottish Borders,47.071248085025594,78.9793572749896,44.863950358565624,76.80557619942518,44.863950358565624,76.80557619942518,129184632.4623433,39555061.72377499,0.6938098520711811,5.241737400665307,0.23826079093933214,22,0.3148457056745051
S12000027,Shetland Islands,70.52778685767615,92.24090312616953,54.5704418515413,82.97533267958065,54.5704418515413,82.97533267958065,75127470.77759996,24133459.79738237,0.6787665078087786,2.3994031375095903,0.2666003486121767,9,1.0
S12000028,South Ayrshire,46.005878347505366,73.10942802764157,44.87475763636794,71.44387685699083,44.87475763636794,71.44387685699083,58070938.04293558,18495793.140777137,0.6814965667146273,2.7359809562063333,0.2735980956206333,10,0.17601112576478006
S12000029,South Lanarkshire,33.01062807336862,67.30006396041651,30.245667194307295,65.23233407458267,30.245667194307295,65.23233407458267,123247659.26701929,42598161.43119911,0.6543694080314412,1.2657350927013151,0.04520482473933268,28,0.1816040012528693
S12000030,Stirling,34.863771699089426,65.69261520952678,31.759210204264992,65.26333237288817,31.759210204264992,65.26333237288817,49611043.73948645,15556286.362723429,0.6864350114379499,0.4930322110994033,0.030814513193712707,16,0.21026287280504713
S12000033,Aberdeen City,37.77924318745091,60.23883462016252,36.54789171364098,59.36944351354896,36.54789171364098,59.36944351354896,23731064.14455109,11741137.234478531,0.5052418567089658,0.0,0.0,25,0.12167273537411738
S12000034,Aberdeenshire,48.149829304102404,78.42611433417909,46.82445940359781,76.40247705048893,47.99222068591955,76.40247705048893,408724048.5440844,121100709.72905412,0.7037103391385292,43.83767699086882,1.1536230787070743,38,0.41191468055991104
S12000035,Argyll and Bute,52.00478593769064,83.52805554209151,46.730918508928745,76.69221602238532,46.730918508928745,76.69221602238532,152333085.4856027,46576149.67030793,0.6942479729742628,4.893946431510253,0.09411435445212026,52,0.5898109478205288
S12000036,City of Edinburgh,27.39378934434391,60.164058388987804,25.089858743740724,56.3336633826905,25.089858743740724,56.3336633826905,83316966.87551633,29949705.14685344,0.6405329398080319,5.869108995998769,0.12758932599997322,46,0.13105959928260677
S12000038,Renfrewshire,27.769803427284796,58.889107555967044,26.868693475507243,56.43527388359701,26.868693475507243,56.43527388359701,14678203.981594337,5322349.424533123,0.6373977748771541,0.0,0.0,15,0.05976664306525994
